"","interval.ma"," early_interval","accepted_name","lat","lng","cell","ex","fad"
"1",252.17,"Changhsingian","Acanthopecten",-17.05,108.91,662,1,358.9
"2",252.17,"Changhsingian","Acanthopecten",-15.26,104.61,662,1,358.9
"3",252.17,"Changhsingian","Acharax",12.12,36.17,247,0,330.9
"4",252.17,"Changhsingian","Acharax",12.05,36.31,247,0,330.9
"5",252.17,"Changhsingian","Acharax",12.14,36.16,247,0,330.9
"6",252.17,"Changhsingian","Aclisina",-16.95,108.49,662,1,387.7
"7",252.17,"Changhsingian","Acteonina",-15.41,104.04,652,0,259.9
"8",252.17,"Changhsingian","Actinodontophora",1.4,127.6,693,1,268.8
"9",252.17,"Changhsingian","Actinodontophora",2.18,129.88,693,1,268.8
"10",252.17,"Changhsingian","Actinopteria",-15.41,104.04,652,1,440.8
"11",252.17,"Changhsingian","Actinopteria",-15.13,104.76,662,1,440.8
"12",252.17,"Changhsingian","Allorisma",12.12,36.16,247,0,419.2
"13",252.17,"Changhsingian","Allorisma",-35.59,52.23,602,0,419.2
"14",252.17,"Changhsingian","Allorisma",13.36,-29.56,144,0,419.2
"15",252.17,"Changhsingian","Alula",-15.26,104.61,662,1,268.8
"16",252.17,"Changhsingian","Anematina",-35.59,52.2,602,1,346.7
"17",252.17,"Changhsingian","Anematina",-35.32,52.06,602,1,346.7
"18",252.17,"Changhsingian","Anematina",-35.54,52.06,602,1,346.7
"19",252.17,"Changhsingian","Annuliconcha",-15.35,105.29,662,1,295.5
"20",252.17,"Changhsingian","Anomphalus",-9.98,114.85,672,0,407.6
"21",252.17,"Changhsingian","Anomphalus",-16.95,108.49,662,0,407.6
"22",252.17,"Changhsingian","Apachella",2.25,128.69,693,1,295.5
"23",252.17,"Changhsingian","Astartella",-35.59,52.23,602,0,330.9
"24",252.17,"Changhsingian","Astartella",-35.38,52.12,602,0,330.9
"25",252.17,"Changhsingian","Astartella",2.16,129.89,693,0,330.9
"26",252.17,"Changhsingian","Astartella",-35.32,52.06,602,0,330.9
"27",252.17,"Changhsingian","Astartella",2.16,129.9,693,0,330.9
"28",252.17,"Changhsingian","Astartella",-35.51,52.19,602,0,330.9
"29",252.17,"Changhsingian","Astartella",-15.41,104.04,652,0,330.9
"30",252.17,"Changhsingian","Astartella",-37.2,55.08,602,0,330.9
"31",252.17,"Changhsingian","Astartella",-16.04,105.72,662,0,330.9
"32",252.17,"Changhsingian","Astartella",-15.13,104.76,662,0,330.9
"33",252.17,"Changhsingian","Astartella",-15.42,104.08,652,0,330.9
"34",252.17,"Changhsingian","Astartella",-15.54,105.64,662,0,330.9
"35",252.17,"Changhsingian","Astartella",-14.73,104.99,662,0,330.9
"36",252.17,"Changhsingian","Astartella",-16.83,86.45,309,0,330.9
"37",252.17,"Changhsingian","Astartella",-35.24,52.12,602,0,330.9
"38",252.17,"Changhsingian","Astartella",-35.54,52.06,602,0,330.9
"39",252.17,"Changhsingian","Astartella",-15.26,104.61,662,0,330.9
"40",252.17,"Changhsingian","Astartila",-87.27,-122.32,614,1,295.5
"41",252.17,"Changhsingian","Atomodesma",-45.31,53.15,601,0,295.5
"42",252.17,"Changhsingian","Atomodesma",-46.37,52.7,601,0,295.5
"43",252.17,"Changhsingian","Atomodesma",-45.12,53.25,601,0,295.5
"44",252.17,"Changhsingian","Atomodesma",-88.7,71.56,605,0,295.5
"45",252.17,"Changhsingian","Atomodesma",74.4,58.64,351,0,295.5
"46",252.17,"Changhsingian","Atomodesma",-46.48,52.74,601,0,295.5
"47",252.17,"Changhsingian","Atomodesma",-45.21,53.11,601,0,295.5
"48",252.17,"Changhsingian","Atomodesma",-46.36,52.7,601,0,295.5
"49",252.17,"Changhsingian","Atomodesma",-87.51,-126.37,614,0,295.5
"50",252.17,"Changhsingian","Avicula",12.12,36.16,247,0,382.7
"51",252.17,"Changhsingian","Aviculopecten",-15.26,104.61,662,0,393.3
"52",252.17,"Changhsingian","Aviculopecten",-12.18,105.8,662,0,393.3
"53",252.17,"Changhsingian","Aviculopecten",-15.13,104.76,662,0,393.3
"54",252.17,"Changhsingian","Aviculopecten",-14.79,111.61,662,0,393.3
"55",252.17,"Changhsingian","Aviculopecten",-37.2,55.08,602,0,393.3
"56",252.17,"Changhsingian","Aviculopecten",-35.61,52.13,602,0,393.3
"57",252.17,"Changhsingian","Aviculopecten",-37.17,55.05,602,0,393.3
"58",252.17,"Changhsingian","Aviculopecten",-35.32,52.06,602,0,393.3
"59",252.17,"Changhsingian","Aviculopecten",-14.44,111.42,662,0,393.3
"60",252.17,"Changhsingian","Aviculopecten",-14.49,105.56,662,0,393.3
"61",252.17,"Changhsingian","Aviculopecten",-8.64,104.36,653,0,393.3
"62",252.17,"Changhsingian","Aviculopecten",-10.81,105.55,653,0,393.3
"63",252.17,"Changhsingian","Aviculopecten",-15.3,111.57,662,0,393.3
"64",252.17,"Changhsingian","Aviculopecten",-14.73,104.99,662,0,393.3
"65",252.17,"Changhsingian","Aviculopecten",-35.29,52.14,602,0,393.3
"66",252.17,"Changhsingian","Aviculopecten",2.16,129.89,693,0,393.3
"67",252.17,"Changhsingian","Aviculopecten",-35.59,52.2,602,0,393.3
"68",252.17,"Changhsingian","Aviculopecten",-35.37,52.11,602,0,393.3
"69",252.17,"Changhsingian","Aviculopecten",78.05,81.72,360,0,393.3
"70",252.17,"Changhsingian","Aviculopecten",-35.59,52.23,602,0,393.3
"71",252.17,"Changhsingian","Aviculopecten",-15.42,104.08,652,0,393.3
"72",252.17,"Changhsingian","Aviculopecten",-17.05,108.91,662,0,393.3
"73",252.17,"Changhsingian","Aviculopecten",2.18,129.88,693,0,393.3
"74",252.17,"Changhsingian","Aviculopecten",-35.54,52.06,602,0,393.3
"75",252.17,"Changhsingian","Aviculopecten",2.63,135.93,702,0,393.3
"76",252.17,"Changhsingian","Aviculopecten",-14.85,105.33,662,0,393.3
"77",252.17,"Changhsingian","Aviculopecten",2.63,135.92,702,0,393.3
"78",252.17,"Changhsingian","Aviculopecten",-35.42,52.08,602,0,393.3
"79",252.17,"Changhsingian","Aviculopecten",2.64,135.93,702,0,393.3
"80",252.17,"Changhsingian","Aviculopecten",-10.11,108,663,0,393.3
"81",252.17,"Changhsingian","Aviculopinna",2.18,129.88,693,1,298.9
"82",252.17,"Changhsingian","Aviculopinna",13.35,-29.57,144,1,298.9
"83",252.17,"Changhsingian","Bakevellia",-11.67,105.28,653,0,323.2
"84",252.17,"Changhsingian","Bakevellia",12.18,36.14,247,0,323.2
"85",252.17,"Changhsingian","Bakevellia",-13.04,115.6,672,0,323.2
"86",252.17,"Changhsingian","Bakevellia",-7.66,116.57,672,0,323.2
"87",252.17,"Changhsingian","Bakevellia",12.12,36.16,247,0,323.2
"88",252.17,"Changhsingian","Bakevellia",-18.62,107.65,661,0,323.2
"89",252.17,"Changhsingian","Bakevellia",-16.83,86.45,309,0,323.2
"90",252.17,"Changhsingian","Bakevellia",12.09,36.28,247,0,323.2
"91",252.17,"Changhsingian","Bakevellia (Bakevellia)",12.14,36.16,247,0,295.5
