"","interval.ma","accepted_name","lat","lng","cell","extinct"
"1",252.17,"Acanthopecten",-15.26,104.61,662,1
"2",252.17,"Acanthopecten",-17.05,108.91,662,1
"3",252.17,"Acanthopecten",-15.26,104.61,662,1
"4",252.17,"Aclisina",-16.95,108.49,662,1
"5",252.17,"Acteonina",-15.41,104.04,652,0
"6",252.17,"Actinodontophora",1.4,127.6,693,1
"7",252.17,"Actinodontophora",2.18,129.88,693,1
"8",252.17,"Actinopteria",-15.41,104.04,652,1
"9",252.17,"Actinopteria",-15.13,104.76,662,1
"10",252.17,"Allorisma",13.36,-29.56,144,0
"11",252.17,"Allorisma",-35.59,52.23,602,0
"12",252.17,"Allorisma",12.12,36.16,247,0
"13",252.17,"Alula",-15.26,104.61,662,1
"14",252.17,"Annuliconcha",-15.35,105.29,662,1
"15",252.17,"Anomphalus",-16.95,108.49,662,0
"16",252.17,"Anomphalus",-9.98,114.85,672,0
"17",252.17,"Anomphalus",-35.54,52.06,602,0
"18",252.17,"Anomphalus",-35.59,52.2,602,0
"19",252.17,"Anomphalus",-35.32,52.06,602,0
"20",252.17,"Apachella",2.25,128.69,693,1
"21",252.17,"Astartella",-15.13,104.76,662,0
"22",252.17,"Astartella",-15.54,105.64,662,0
"23",252.17,"Astartella",-35.32,52.06,602,0
"24",252.17,"Astartella",-15.41,104.04,652,0
"25",252.17,"Astartella",-15.13,104.76,662,0
"26",252.17,"Astartella",2.16,129.89,693,0
"27",252.17,"Astartella",-35.54,52.06,602,0
"28",252.17,"Astartella",-15.13,104.76,662,0
"29",252.17,"Astartella",-35.32,52.06,602,0
"30",252.17,"Astartella",-35.38,52.12,602,0
"31",252.17,"Astartella",-15.26,104.61,662,0
"32",252.17,"Astartella",-14.73,104.99,662,0
"33",252.17,"Astartella",-35.32,52.06,602,0
"34",252.17,"Astartella",2.16,129.9,693,0
"35",252.17,"Astartella",-35.51,52.19,602,0
"36",252.17,"Astartella",-14.73,104.99,662,0
"37",252.17,"Astartella",-35.24,52.12,602,0
"38",252.17,"Astartella",-35.59,52.23,602,0
"39",252.17,"Astartella",-15.42,104.08,652,0
"40",252.17,"Astartella",-16.04,105.72,662,0
"41",252.17,"Astartella",-15.13,104.76,662,0
"42",252.17,"Astartella",-37.2,55.08,602,0
"43",252.17,"Astartella",-35.32,52.06,602,0
"44",252.17,"Astartella",-16.83,86.45,309,0
"45",252.17,"Astartella",-15.13,104.76,662,0
"46",252.17,"Astartella",-15.13,104.76,662,0
"47",252.17,"Astartila",-87.27,-122.32,614,1
"48",252.17,"Atomodesma",-45.21,53.11,601,0
"49",252.17,"Atomodesma",-45.31,53.15,601,0
"50",252.17,"Atomodesma",-45.31,53.15,601,0
"51",252.17,"Atomodesma",-46.36,52.7,601,0
"52",252.17,"Atomodesma",-46.37,52.7,601,0
"53",252.17,"Atomodesma",-45.12,53.25,601,0
"54",252.17,"Atomodesma",-45.31,53.15,601,0
"55",252.17,"Atomodesma",-46.48,52.74,601,0
"56",252.17,"Atomodesma",-46.36,52.7,601,0
"57",252.17,"Atomodesma",-88.7,71.56,605,0
"58",252.17,"Atomodesma",-87.51,-126.37,614,0
"59",252.17,"Atomodesma",74.4,58.64,351,0
"60",252.17,"Avicula",12.12,36.16,247,0
"61",252.17,"Aviculopecten",2.18,129.88,693,0
"62",252.17,"Aviculopecten",-14.49,105.56,662,0
"63",252.17,"Aviculopecten",-15.13,104.76,662,0
"64",252.17,"Aviculopecten",-35.59,52.2,602,0
"65",252.17,"Aviculopecten",-35.42,52.08,602,0
"66",252.17,"Aviculopecten",-37.2,55.08,602,0
"67",252.17,"Aviculopecten",-8.64,104.36,653,0
"68",252.17,"Aviculopecten",78.05,81.72,360,0
"69",252.17,"Aviculopecten",-12.18,105.8,662,0
"70",252.17,"Aviculopecten",85.1,-143.06,6,0
"71",252.17,"Aviculopecten",-15.26,104.61,662,0
"72",252.17,"Aviculopecten",-15.42,104.08,652,0
"73",252.17,"Aviculopecten",-15.13,104.76,662,0
"74",252.17,"Aviculopecten",-14.79,111.61,662,0
"75",252.17,"Aviculopecten",-35.54,52.06,602,0
"76",252.17,"Aviculopecten",-35.59,52.23,602,0
"77",252.17,"Aviculopecten",-15.13,104.76,662,0
"78",252.17,"Aviculopecten",-35.32,52.06,602,0
"79",252.17,"Aviculopecten",-12.18,105.8,662,0
"80",252.17,"Aviculopecten",2.63,135.92,702,0
"81",252.17,"Aviculopecten",-35.61,52.13,602,0
"82",252.17,"Aviculopecten",-15.26,104.61,662,0
"83",252.17,"Aviculopecten",-35.29,52.14,602,0
"84",252.17,"Aviculopecten",-14.85,105.33,662,0
"85",252.17,"Aviculopecten",-15.26,104.61,662,0
"86",252.17,"Aviculopecten",-10.81,105.55,653,0
"87",252.17,"Aviculopecten",-14.49,105.56,662,0
"88",252.17,"Aviculopecten",-10.81,105.55,653,0
"89",252.17,"Aviculopecten",2.16,129.89,693,0
"90",252.17,"Aviculopecten",-35.37,52.11,602,0
"91",252.17,"Aviculopecten",-15.13,104.76,662,0
"92",252.17,"Aviculopecten",-14.44,111.42,662,0
"93",252.17,"Aviculopecten",-15.26,104.61,662,0
"94",252.17,"Aviculopecten",2.64,135.93,702,0
"95",252.17,"Aviculopecten",-14.85,105.33,662,0
"96",252.17,"Aviculopecten",-14.73,104.99,662,0
"97",252.17,"Aviculopecten",-15.13,104.76,662,0
"98",252.17,"Aviculopecten",2.63,135.93,702,0
"99",252.17,"Aviculopecten",-10.11,108,663,0
"100",252.17,"Aviculopecten",-15.3,111.57,662,0
"101",252.17,"Aviculopecten",-35.32,52.06,602,0
"102",252.17,"Aviculopecten",-17.05,108.91,662,0
"103",252.17,"Aviculopinna",13.35,-29.57,144,1
"104",252.17,"Aviculopinna",2.18,129.88,693,1
"105",252.17,"Bakevellia",12.12,36.16,247,0
"106",252.17,"Bakevellia",12.14,36.15,247,0
"107",252.17,"Bakevellia",12.18,36.14,247,0
"108",252.17,"Bakevellia",7.55,40.29,246,0
"109",252.17,"Bakevellia",-7.66,116.57,672,0
"110",252.17,"Bakevellia",-13.29,110.1,662,0
"111",252.17,"Bakevellia",12.09,36.28,247,0
"112",252.17,"Bakevellia",7.55,40.29,246,0
"113",252.17,"Bakevellia",7.55,40.29,246,0
"114",252.17,"Bakevellia",-18.62,107.65,661,0
"115",252.17,"Bakevellia",-16.83,86.45,309,0
"116",252.17,"Bakevellia",-11.67,105.28,653,0
"117",252.17,"Bakevellia",-13.04,115.6,672,0
"118",252.17,"Bakevellia",-12.69,110.27,662,0
"119",252.17,"Bakevellia",-13.57,111.26,662,0
"120",252.17,"Bakevellia (Bakevellia)",2.18,129.88,693,0
"121",252.17,"Basterotia",-35.38,52.12,602,0
"122",252.17,"Baylea",-35.32,52.06,602,1
"123",252.17,"Baylea",-35.59,52.23,602,1
"124",252.17,"Baylea",-35.54,52.06,602,1
"125",252.17,"Baylea",-35.29,52.14,602,1
"126",252.17,"Baylea",-35.59,52.23,602,1
"127",252.17,"Baylea",-35.51,52.19,602,1
"128",252.17,"Baylea",-35.32,52.06,602,1
"129",252.17,"Baylea",-35.32,52.06,602,1
"130",252.17,"Baylea",-35.61,52.13,602,1
"131",252.17,"Baylea",-35.38,52.12,602,1
"132",252.17,"Baylea",-14.85,105.33,662,1
"133",252.17,"Baylea",-35.16,52.3,602,1
"134",252.17,"Baylea",-35.24,52.12,602,1
"135",252.17,"Baylea",-16.95,108.49,662,1
"136",252.17,"Baylea",-35.42,52.08,602,1
"137",252.17,"Baylea",-16.95,108.49,662,1
"138",252.17,"Baylea",-14.85,105.33,662,1
"139",252.17,"Baylea",-16.95,108.49,662,1
"140",252.17,"Baylea",-16.95,108.49,662,1
"141",252.17,"Baylea",-35.61,52.13,602,1
"142",252.17,"Baylea",-11.27,105.31,653,1
"143",252.17,"Baylea",-35.16,52.3,602,1
"144",252.17,"Baylea",-15.26,104.61,662,1
"145",252.17,"Bellerophon (Bellerophon)",-37.2,55.08,602,1
"146",252.17,"Bellerophon (Bellerophon)",-35.29,52.14,602,1
"147",252.17,"Bellerophon (Bellerophon)",-16.95,108.49,662,1
"148",252.17,"Bellerophon (Bellerophon)",-35.61,52.13,602,1
"149",252.17,"Bellerophon (Bellerophon)",-35.42,52.08,602,1
"150",252.17,"Bellerophon (Bellerophon)",-37.2,55.08,602,1
"151",252.17,"Bellerophon (Bellerophon)",-35.51,52.19,602,1
"152",252.17,"Bellerophon (Bellerophon)",-37.2,55.08,602,1
"153",252.17,"Bellerophon (Bellerophon)",-35.24,52.12,602,1
"154",252.17,"Bellerophon (Bellerophon)",-16.95,108.49,662,1
"155",252.17,"Bellerophon (Bellerophon)",-35.37,52.11,602,1
"156",252.17,"Bellerophon (Bellerophon)",-35.32,52.06,602,1
"157",252.17,"Bellerophon (Bellerophon)",-35.61,52.13,602,1
"158",252.17,"Bellerophon (Bellerophon)",-35.59,52.23,602,1
"159",252.17,"Bellerophon (Bellerophon)",-35.59,52.2,602,1
"160",252.17,"Bicarinella",-87.62,-101.98,614,1
"161",252.17,"Bicarinella",-69.29,148.56,643,1
"162",252.17,"Bucania",-35.29,52.14,602,1
"163",252.17,"Bucanopsis",-15.26,104.61,662,1
"164",252.17,"Callistadia",-35.42,52.08,602,1
"165",252.17,"Callistadia",-35.54,52.06,602,1
"166",252.17,"Callistadia",-35.29,52.14,602,1
"167",252.17,"Callistadia",-35.51,52.19,602,1
"168",252.17,"Callistadia",-35.32,52.06,602,1
"169",252.17,"Callistadia",-35.61,52.13,602,1
"170",252.17,"Callistadia",-35.16,52.3,602,1
"171",252.17,"Callistadia",-14.56,104.67,662,1
"172",252.17,"Callistadia",-35.16,52.3,602,1
"173",252.17,"Callistadia",-35.32,52.06,602,1
"174",252.17,"Callistadia",-35.32,52.06,602,1
"175",252.17,"Callistadia",-35.24,52.12,602,1
"176",252.17,"Callistadia",-35.32,52.06,602,1
"177",252.17,"Callitomaria",-16.95,108.49,662,1
"178",252.17,"Callitomaria",2.26,128.69,693,1
"179",252.17,"Cassianoides",-46.49,52.74,601,1
"180",252.17,"Cassianoides",-46.48,52.74,601,1
"181",252.17,"Cassianoides",-46.48,52.74,601,1
"182",252.17,"Cassianoides",-46.47,52.7,601,1
"183",252.17,"Cassianoides",-46.48,52.73,601,1
"184",252.17,"Ceraunocochlis",-16.95,108.49,662,1
"185",252.17,"Chaenomya",20.87,142.79,381,1
"186",252.17,"Chaenomya",-15.26,104.61,662,1
"187",252.17,"Cibecuia",13.36,-29.54,144,1
"188",252.17,"Cibecuia",13.33,-29.58,144,1
"189",252.17,"Cinclidonema",-14.56,104.67,662,1
"190",252.17,"Claraia",-18.62,107.65,661,0
"191",252.17,"Claraia",-7.66,116.57,672,0
"192",252.17,"Claraia",-7.66,116.57,672,0
"193",252.17,"Claraia",-8.61,104.38,653,0
"194",252.17,"Claraia",-7.58,116.29,672,0
"195",252.17,"Claraia",-11.67,105.28,653,0
"196",252.17,"Claraia",-18.62,107.65,661,0
"197",252.17,"Claraia",-16.04,105.72,662,0
"198",252.17,"Claraia",-18.62,107.65,661,0
"199",252.17,"Claraia",-11.24,105.33,653,0
"200",252.17,"Claraia",-15.35,105.29,662,0
"201",252.17,"Claraia",-15.54,105.64,662,0
"202",252.17,"Claraia",-16.95,108.94,662,0
"203",252.17,"Claraia",-8.99,104.07,653,0
"204",252.17,"Claraia",-16.95,108.94,662,0
"205",252.17,"Claraia",-16.95,108.94,662,0
"206",252.17,"Claraia",-18.62,107.65,661,0
"207",252.17,"Claraioides",26.74,54.06,277,1
"208",252.17,"Claraioides",-16.04,105.72,662,1
"209",252.17,"Claraioides",85.96,95.15,370,1
"210",252.17,"Claraioides",26.7,54.1,277,1
"211",252.17,"Claraioides",-18.52,107.65,661,1
"212",252.17,"Claraioides",-15.54,105.64,662,1
"213",252.17,"Claraioides",-15.35,105.29,662,1
"214",252.17,"Clavicosta",-45.9,53.79,601,1
"215",252.17,"Clavicosta",-46.36,52.7,601,1
"216",252.17,"Clavicosta",-45.31,53.15,601,1
"217",252.17,"Clavicosta",-45.31,53.15,601,1
"218",252.17,"Clavicosta",-45.12,53.25,601,1
"219",252.17,"Clavicosta",-45.31,53.15,601,1
"220",252.17,"Coelostylina",12.14,35.84,247,0
"221",252.17,"Coelostylina",12.18,36.13,247,0
"222",252.17,"Coelostylina",12.18,36.14,247,0
"223",252.17,"Coelostylina",12.14,35.84,247,0
"224",252.17,"Collabrina",-45.31,53.15,601,1
"225",252.17,"Collabrina",-45.31,53.15,601,1
"226",252.17,"Collabrina",-45.12,53.25,601,1
"227",252.17,"Collabrina",-46.47,52.7,601,1
"228",252.17,"Collabrina",-45.31,53.15,601,1
"229",252.17,"Collabrina",-45.31,53.15,601,1
"230",252.17,"Collabrina",-46.36,52.7,601,1
"231",252.17,"Collabrina",-46.49,52.74,601,1
"232",252.17,"Collabrina",-45.31,53.15,601,1
"233",252.17,"Collabrina",-45.31,53.15,601,1
"234",252.17,"Collabrina",-45.35,53,601,1
"235",252.17,"Collabrina",-45.13,53.34,601,1
"236",252.17,"Collabrina",-45.31,53.15,601,1
"237",252.17,"Collabrina",-45.31,53.15,601,1
"238",252.17,"Collabrina",-45.12,53.25,601,1
"239",252.17,"Collabrina",-45.31,53.15,601,1
"240",252.17,"Collabrina",-45.31,53.15,601,1
"241",252.17,"Collabrina",-45.18,53.19,601,1
"242",252.17,"Coronopsis",-87.2,-127.08,614,1
"243",252.17,"Corrugopecten",-88.33,63.21,605,1
"244",252.17,"Corrugopecten",-88.68,70.1,605,1
"245",252.17,"Costatoria",1.4,127.6,693,0
"246",252.17,"Costatoria",2.18,129.88,693,0
"247",252.17,"Crenipecten",-17.05,108.91,662,1
"248",252.17,"Crenipecten",-14.62,111.44,662,1
"249",252.17,"Crenipecten",-14.54,111.41,662,1
"250",252.17,"Crenipecten",-15.54,105.64,662,1
"251",252.17,"Crenipecten",-17.05,108.91,662,1
"252",252.17,"Crenipecten",-15.35,105.29,662,1
"253",252.17,"Cylindritopsis",-16.95,108.49,662,1
"254",252.17,"Cylindritopsis",-15.26,104.61,662,1
"255",252.17,"Cylindritopsis",-16.95,108.49,662,1
"256",252.17,"Cylindritopsis",-15.26,104.61,662,1
"257",252.17,"Cylindritopsis",-15.26,104.61,662,1
"258",252.17,"Cylindritopsis",-14.56,104.67,662,1
"259",252.17,"Cyrtorostra",-35.32,52.06,602,1
"260",252.17,"Cyrtorostra",-45.31,53.15,601,1
"261",252.17,"Cyrtorostra",-37.2,55.08,602,1
"262",252.17,"Cyrtorostra",-35.24,52.12,602,1
"263",252.17,"Cyrtorostra",-35.16,52.3,602,1
"264",252.17,"Cyrtorostra",-35.42,52.08,602,1
"265",252.17,"Deltopecten",79.66,90.42,370,1
"266",252.17,"Dictyotomaria",-15.26,104.61,662,0
"267",252.17,"Dictyotomaria",-15.26,104.61,662,0
"268",252.17,"Dolponella",-45.31,53.15,601,1
"269",252.17,"Dolponella",-45.31,53.15,601,1
"270",252.17,"Dolponella",-45.17,53.21,601,1
"271",252.17,"Dolponella",-45.31,53.15,601,1
"272",252.17,"Dolponella",-45.12,53.25,601,1
"273",252.17,"Dolponella",-45.3,53.02,601,1
"274",252.17,"Dolponella",-45.31,53.15,601,1
"275",252.17,"Dolponella",-45.31,53.15,601,1
"276",252.17,"Dolponella",-46.36,52.7,601,1
"277",252.17,"Donaldina",13.38,-29.54,144,0
"278",252.17,"Donaldina",-9.98,114.85,672,0
"279",252.17,"Donaldina",13.35,-29.57,144,0
"280",252.17,"Donaldina",13.37,-29.5,144,0
"281",252.17,"Donaldina",13.28,-29.6,144,0
"282",252.17,"Donaldina",13.33,-29.58,144,0
"283",252.17,"Donaldina",-13.97,100.35,653,0
"284",252.17,"Donaldina",13.34,-29.58,144,0
"285",252.17,"Donaldina",-16.95,108.49,662,0
"286",252.17,"Donaldospira",-18.47,107.63,661,1
"287",252.17,"Donaldospira",-16.95,108.49,662,1
"288",252.17,"Dunbarella",-45.12,53.25,601,1
"289",252.17,"Dunbarella",-45.31,53.15,601,1
"290",252.17,"Dyasmya",-13.04,115.6,672,1
"291",252.17,"Dystactella",-35.42,52.08,602,1
"292",252.17,"Dystactella",-15.54,105.64,662,1
"293",252.17,"Dystactella",-15.42,104.08,652,1
"294",252.17,"Edmondia",-15.54,105.64,662,1
"295",252.17,"Edmondia",2.13,129.93,693,1
"296",252.17,"Edmondia",2.18,129.88,693,1
"297",252.17,"Edmondia",-13.04,115.6,672,1
"298",252.17,"Edmondia",12.12,36.16,247,1
"299",252.17,"Edmondia",12.07,36.15,247,1
"300",252.17,"Edmondia",-15.26,104.61,662,1
"301",252.17,"Edmondia",-13.05,115.6,672,1
"302",252.17,"Edmondia",-13.05,115.6,672,1
"303",252.17,"Enantiostreon",-15.26,104.61,662,0
"304",252.17,"Ensipteria",-13.04,115.6,672,1
"305",252.17,"Ensipteria",-15.26,104.61,662,1
"306",252.17,"Ensipteria",-15.26,104.61,662,1
"307",252.17,"Ensipteria",-12.48,110.51,662,1
"308",252.17,"Ensipteria",-15.26,104.61,662,1
"309",252.17,"Ensipteria",-15.12,104.77,662,1
"310",252.17,"Ensipteria",-14.85,105.33,662,1
"311",252.17,"Ensipteria",-14.85,105.33,662,1
"312",252.17,"Ensipteria",-14.54,111.41,662,1
"313",252.17,"Entolium",-15.54,105.64,662,0
"314",252.17,"Entolium",-13.79,115.78,672,0
"315",252.17,"Entolium",7.55,40.29,246,0
"316",252.17,"Entolium",-15.12,104.77,662,0
"317",252.17,"Entolium",-16.83,86.45,309,0
"318",252.17,"Entolium",-13.69,115.99,672,0
"319",252.17,"Entolium",-13.69,115.99,672,0
"320",252.17,"Entolium",-15.26,104.61,662,0
"321",252.17,"Entolium",-7.66,116.57,672,0
"322",252.17,"Eoastarte",-35.32,52.06,602,1
"323",252.17,"Eoastarte",-35.54,52.06,602,1
"324",252.17,"Eosinocerithium",-13.97,100.35,653,1
"325",252.17,"Erwinispira",-13.97,100.35,653,1
"326",252.17,"Erwinispira",-16.95,108.49,662,1
"327",252.17,"Etheripecten",-8.02,106.03,663,0
"328",252.17,"Etheripecten",-45.31,53.15,601,0
"329",252.17,"Etheripecten",-45.31,53.15,601,0
"330",252.17,"Etheripecten",-13.69,115.99,672,0
"331",252.17,"Etheripecten",-46.47,52.72,601,0
"332",252.17,"Etheripecten",-15.26,104.61,662,0
"333",252.17,"Etheripecten",-13.05,115.6,672,0
"334",252.17,"Etheripecten",-17.05,108.91,662,0
"335",252.17,"Etheripecten",-17.05,108.91,662,0
"336",252.17,"Etheripecten",-45.31,53.15,601,0
"337",252.17,"Etheripecten",-37.2,55.08,602,0
"338",252.17,"Etheripecten",-12.18,105.8,662,0
"339",252.17,"Etheripecten",-14.4,106.47,662,0
"340",252.17,"Etheripecten",-87.27,-122.32,614,0
"341",252.17,"Etheripecten",-45.31,53.15,601,0
"342",252.17,"Etheripecten",-13.05,115.6,672,0
"343",252.17,"Etheripecten",-13.05,115.6,672,0
"344",252.17,"Etheripecten",-8.02,106.03,663,0
"345",252.17,"Etheripecten",-15.13,104.76,662,0
"346",252.17,"Etheripecten",-45.17,53.21,601,0
"347",252.17,"Etheripecten",-13.05,115.6,672,0
"348",252.17,"Etheripecten",-18.91,90.11,309,0
"349",252.17,"Etheripecten",-12.13,105.82,662,0
"350",252.17,"Etheripecten",-14.4,106.47,662,0
"351",252.17,"Etheripecten",-14.4,106.47,662,0
"352",252.17,"Etheripecten",-11.67,105.29,653,0
"353",252.17,"Etheripecten",-45.12,53.25,601,0
"354",252.17,"Etheripecten",-13.05,115.6,672,0
"355",252.17,"Etheripecten",-87.62,-101.98,614,0
"356",252.17,"Etheripecten",-45.31,53.15,601,0
"357",252.17,"Etheripecten",-14.4,106.47,662,0
"358",252.17,"Etheripecten",-13.05,115.6,672,0
"359",252.17,"Etheripecten",-15.26,104.61,662,0
"360",252.17,"Etheripecten",-45.12,53.25,601,0
"361",252.17,"Etheripecten",-45.31,53.15,601,0
"362",252.17,"Etheripecten",-11.67,105.29,653,0
"363",252.17,"Etheripecten",-11.67,105.29,653,0
"364",252.17,"Etheripecten",-88.33,63.21,605,0
"365",252.17,"Etheripecten",-12.18,105.8,662,0
"366",252.17,"Etheripecten",-45.31,53.15,601,0
"367",252.17,"Etheripecten",-45.31,53.15,601,0
"368",252.17,"Etheripecten",-17.05,108.91,662,0
"369",252.17,"Etheripecten",-16.04,105.72,662,0
"370",252.17,"Etheripecten",-12.13,105.82,662,0
"371",252.17,"Etheripecten",-12.18,105.8,662,0
"372",252.17,"Etheripecten",-46.47,52.72,601,0
"373",252.17,"Etheripecten",-45.12,53.25,601,0
"374",252.17,"Etheripecten",-17.05,108.91,662,0
"375",252.17,"Etheripecten",-14.85,105.33,662,0
